#{"t_start": 1733999491.8000505, "env_id": "roundabout-v0"}
r,l,t
5.791667,11,176.027194
9.166667,11,176.852453
8.333333,11,177.659091
2.5,11,178.475993
4.166667,11,179.269252
9.125,11,180.025155
9.166667,11,180.848065
7.458333,11,181.655325
0.916667,11,182.449279
7.5,11,183.249949
5.791667,11,184.059494
2.5,11,184.891329
5.833333,11,185.691173
6.666667,11,186.508423
5.0,11,187.348505
7.458333,11,188.193415
5.0,11,188.987027
5.791667,11,189.795802
9.166667,11,190.62169
4.166667,11,191.44562
6.666667,11,192.272228
7.5,11,193.103908
4.166667,11,193.938828
3.333333,11,194.841743
8.333333,11,195.629804
9.166667,11,196.56499
4.166667,11,197.533216
2.458333,11,198.419757
2.5,10,199.138949
5.833333,11,199.96555
5.833333,11,200.788081
4.125,9,201.481722
7.5,11,202.289814
5.833333,11,203.080197
5.0,11,203.881537
4.166667,11,204.697172
5.083333,11,205.512318
8.333333,11,206.302453
0.0,11,207.13255
6.625,11,207.929534
4.958333,11,208.740609
9.166667,11,209.549254
8.333333,11,210.348047
5.0,11,211.14773
9.166667,11,211.943654
9.166667,11,212.751549
7.5,11,213.560306
9.166667,11,214.397986
9.166667,11,215.19636
9.166667,11,215.989411
5.833333,9,216.689956
5.833333,11,217.494588
4.125,11,218.291752
9.166667,11,219.10669
9.166667,11,219.949373
8.333333,11,220.784057
4.166667,11,221.588714
5.0,11,222.383352
8.333333,11,223.186074
9.166667,11,223.997458
9.166667,11,224.788996
9.166667,11,225.584083
9.166667,11,226.450456
9.166667,11,227.300709
7.5,11,228.102802
9.166667,11,228.881186
9.166667,11,229.695655
9.166667,11,230.524868
8.333333,11,231.341929
7.5,11,232.15109
5.791667,11,232.984616
9.166667,11,233.811867
8.333333,11,234.647472
8.333333,11,235.466278
9.166667,11,236.258749
6.666667,11,237.100946
9.166667,11,237.890303
9.166667,11,238.699169
9.166667,11,239.539467
9.166667,11,240.374775
9.166667,11,241.162768
9.166667,11,241.952901
4.166667,11,242.758704
4.166667,11,243.557821
2.5,11,244.366483
9.166667,11,245.183747
9.166667,11,245.972754
7.5,11,246.767584
5.833333,11,247.579587
8.333333,11,248.385716
9.166667,11,249.200111
9.166667,11,250.02191
8.333333,11,250.828441
9.166667,11,251.639311
4.166667,11,252.467972
5.0,11,253.299488
9.166667,11,254.08512
8.333333,11,254.928369
9.166667,11,255.736824
7.5,11,256.594204
9.166667,11,257.514134
9.166667,11,258.336202
9.166667,11,259.173325
9.166667,11,260.007554
9.166667,11,260.827326
9.166667,11,261.656157
9.166667,11,262.472076
8.333333,11,263.305115
9.166667,11,264.140869
9.166667,11,264.981775
9.166667,11,265.818866
3.25,5,266.232585
9.166667,11,267.037393
7.5,11,267.876897
5.833333,11,268.710073
9.166667,11,269.535828
9.166667,11,270.353154
7.5,11,271.174363
7.5,11,272.00723
9.166667,11,272.859464
9.166667,11,273.672806
8.333333,11,274.49756
7.5,11,275.33616
3.291667,5,275.710608
5.833333,9,276.38817
7.5,11,277.190028
9.166667,11,278.003987
9.166667,11,278.83424
8.333333,11,279.652475
8.333333,11,280.471428
9.166667,11,281.302711
5.0,11,282.140423
9.166667,11,282.94052
9.166667,11,283.7508
9.166667,11,284.578711
7.5,11,285.399774
9.166667,11,286.204468
9.166667,11,287.042909
5.0,11,287.878366
9.166667,11,288.713669
9.166667,11,289.541899
9.166667,11,290.345261
9.166667,11,291.180799
9.166667,11,292.018542
4.166667,11,292.799732
5.791667,11,293.598296
9.166667,11,294.465204
9.166667,11,295.327295
4.166667,11,296.250401
5.0,11,297.057096
9.166667,11,297.891418
9.166667,11,298.725313
9.166667,11,299.540806
8.25,11,300.365103
7.5,11,301.186577
9.166667,11,302.009409
8.333333,11,302.804622
9.166667,11,303.628577
9.166667,11,304.465183
9.166667,11,305.269844
9.166667,11,306.079378
9.166667,11,306.877882
7.5,11,307.700556
9.166667,11,308.526955
0.833333,4,308.822496
5.0,11,309.618917
9.166667,11,310.428239
2.5,11,311.262678
9.166667,11,312.064526
7.5,11,312.858564
9.166667,11,313.723876
8.333333,11,314.553021
7.5,11,315.366768
8.333333,11,316.237004
9.166667,11,317.104402
9.166667,11,317.916409
9.166667,11,318.713127
8.333333,11,319.507351
3.333333,11,320.314156
9.166667,11,321.114164
9.166667,11,321.914323
9.166667,11,322.712258
9.166667,11,323.519835
8.333333,11,324.363352
9.166667,11,325.192091
9.166667,11,326.025735
2.458333,4,326.356224
9.166667,11,327.185492
8.333333,11,328.03146
6.666667,11,328.863399
4.166667,11,329.71792
9.166667,11,330.558674
9.166667,11,331.362587
9.166667,11,332.175496
9.166667,11,333.005621
9.166667,11,333.817818
6.666667,11,334.627206
9.166667,11,335.404483
5.0,11,336.243483
4.125,11,337.055848
2.5,11,337.844258
7.5,11,338.64887
9.166667,11,339.499821
8.333333,11,340.319189
3.291667,11,341.110664
9.166667,11,341.905317
4.083333,11,342.717487
5.791667,11,343.537869
5.833333,11,344.354278
9.166667,11,345.154616
9.166667,11,345.957136
8.333333,11,346.787622
9.166667,11,347.600647
8.333333,11,348.409374
9.166667,11,349.264966
9.166667,11,350.083492
7.5,11,350.90666
9.166667,11,351.727621
9.166667,11,352.552906
9.166667,11,353.367867
8.333333,11,354.186205
9.166667,11,355.047304
9.166667,11,355.871147
9.166667,11,356.709518
9.166667,11,357.518083
9.166667,11,358.332591
7.458333,11,359.152858
4.125,11,359.965463
9.166667,11,360.76081
8.333333,11,361.551257
9.166667,11,362.362659
6.583333,11,363.190121
9.166667,11,363.987247
9.166667,11,364.785825
9.166667,11,365.589158
7.5,11,366.383844
7.5,11,367.1761
4.166667,11,367.965588
9.166667,11,368.818885
8.333333,11,369.645917
9.166667,11,370.433198
5.833333,11,371.234262
9.166667,11,372.051931
9.166667,11,372.878392
7.5,11,373.673194
1.625,11,374.495324
9.166667,11,375.336818
5.791667,11,376.201549
9.166667,11,377.107706
1.625,11,377.967973
7.5,11,378.792088
5.0,10,379.56704
9.166667,11,380.363066
8.333333,11,381.158081
9.166667,11,381.971298
8.333333,11,382.778324
7.5,11,383.635122
2.5,11,384.470353
8.333333,11,385.342675
9.166667,11,386.17413
8.333333,11,386.996877
6.666667,11,387.825417
8.333333,11,388.642942
9.166667,11,389.446536
7.5,11,390.238776
5.833333,11,391.031815
7.5,11,391.843609
8.333333,11,392.661477
5.0,11,393.473419
9.166667,11,394.292405
7.5,11,395.11999
5.833333,11,395.90914
5.791667,11,396.684018
6.625,11,397.481103
9.166667,11,398.301514
9.166667,11,399.135621
9.166667,11,399.958921
8.333333,11,400.758248
9.166667,11,401.572205
4.125,11,402.379278
9.166667,11,403.167022
9.166667,11,403.950981
4.166667,11,404.776396
3.333333,11,405.634596
9.166667,11,406.463856
7.5,11,407.266891
9.166667,11,408.088645
9.166667,11,408.910508
9.166667,11,409.738206
9.166667,11,410.527082
9.166667,11,411.354173
9.166667,11,412.186426
5.0,11,413.008698
3.333333,11,413.814915
8.333333,11,414.654975
2.458333,11,415.480876
9.166667,11,416.293804
0.0,11,417.108357
9.166667,11,417.963496
6.625,11,418.782916
4.166667,11,419.580627
9.166667,11,420.380034
9.166667,11,421.202717
8.333333,11,422.040966
9.166667,11,422.866199
4.166667,11,423.691289
9.166667,11,424.557127
9.166667,11,425.412909
0.0,3,425.646504
9.166667,11,426.475415
9.166667,11,427.283326
9.166667,11,428.132213
5.833333,11,428.96725
9.166667,11,429.812134
9.166667,11,430.620465
9.166667,11,431.438241
8.333333,11,432.267437
9.166667,11,433.096504
9.166667,11,433.901809
9.166667,11,434.724173
9.166667,11,435.513066
3.333333,11,436.422219
7.5,11,437.33649
8.333333,11,438.158362
7.5,11,438.937319
9.166667,11,439.739283
8.333333,11,440.54153
3.333333,11,441.344227
9.166667,11,442.165015
9.166667,11,442.976911
7.5,11,443.805564
7.5,11,444.671545
8.333333,11,445.487833
9.166667,11,446.331594
8.333333,11,447.175197
3.333333,11,448.020602
9.166667,11,448.834688
9.166667,11,449.675288
1.666667,3,449.921877
2.5,11,450.737411
9.166667,11,451.546229
9.166667,11,452.383444
9.166667,11,453.202011
9.166667,11,454.023385
9.166667,11,454.828518
7.5,11,455.610731
5.0,11,456.434215
2.5,11,457.227983
7.458333,11,458.078398
5.833333,11,458.876734
7.5,11,459.702947
9.166667,11,460.562881
9.166667,11,461.344416
7.5,11,462.145113
9.166667,11,462.990684
8.333333,11,463.784377
9.166667,11,464.594292
7.5,11,465.375129
9.166667,11,466.19042
8.333333,11,467.04396
5.791667,11,467.84369
5.833333,11,468.648345
9.166667,11,469.467815
7.5,11,470.236978
9.166667,11,471.027455
5.833333,11,471.823936
9.166667,11,472.639826
9.166667,11,473.457841
5.0,11,474.273743
9.166667,11,475.083663
9.166667,11,475.916561
9.166667,11,476.755175
9.166667,11,477.576539
9.166667,11,478.394707
9.166667,11,479.214957
9.125,11,480.086395
9.166667,11,480.876743
4.125,11,481.662188
9.166667,11,482.479372
8.333333,11,483.321733
2.5,4,483.626207
8.333333,11,484.452363
8.333333,11,485.26912
0.833333,11,486.108031
9.166667,11,486.921839
5.0,11,487.716965
9.166667,11,488.548102
7.5,11,489.379035
9.166667,11,490.204
9.166667,11,491.020967
4.166667,11,491.816256
4.166667,11,492.64061
7.5,11,493.44776
7.5,10,494.296684
9.166667,11,495.192189
9.166667,11,496.025429
9.166667,11,497.014854
